date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2025-01-28,-1.1038377249896616,-4.628466166526772,2.481539699099674,9629394497
2025-01-29,-0.8525681373312661,-4.398703848200081,2.5334521411234237,9629394497
2025-01-30,-0.5699018805799376,-4.337004179987058,2.7063049477624737,9629394497
2025-01-31,-0.2597378750332169,-3.778537291164593,3.3852671789698983,9629394497
2025-02-01,0.07289550202223616,-3.442040638477731,3.5668943897090237,9629394497
2025-02-02,0.4219658429331119,-3.2552824358536503,4.094320788155261,9629394497
2025-02-03,0.7805946387836364,-2.828968789699861,4.220698060809467,9629394497
2025-02-25,-51.67288166312368,-52.3555921766134,-50.95355399248337,4723833696
2025-02-26,-61.18580106836474,-61.873637882161006,-60.511209807744436,4723833696
2025-02-27,-72.37592939081156,-73.06405571894454,-71.68968873508514,4723833696
2025-02-28,-85.20057372089028,-85.86150190680074,-84.51086503625383,4723833696
2025-03-01,-99.56716647909033,-100.21456967181582,-98.8818155671743,4723833696
2025-03-02,-115.3310440703348,-116.01829887918349,-114.72001717846967,4723833696
2025-03-03,-132.29444563281015,-132.98175643114124,-131.61285311196895,4723833696
2025-03-04,-150.2068344468255,-150.85570252368774,-149.4899242733591,4723833696
2025-03-05,-168.76661435680217,-169.48112589861006,-168.10685871191637,4723833696
2025-03-06,-187.62428007028703,-188.301422930071,-186.93322439284685,4723833696
2025-03-07,-206.38700423020495,-207.12723737719975,-205.7457793491831,4723833696
2025-03-08,-224.6246265929685,-225.2816347977363,-223.95962595355408,4723833696
2025-03-09,-241.8769724429506,-242.5304001819611,-241.18047536687132,4723833696
2025-03-10,-257.66238954611816,-258.3658752351027,-256.92191857941856,4723833696
2025-03-11,-271.4873565030541,-272.1683853915054,-270.81441308051564,4723833696
2025-03-12,-282.85698133678795,-283.56008297898796,-282.16647970983325,4723833696
2025-03-13,-291.2861785157812,-292.0072044226317,-290.58328765241896,4723833696
2025-03-14,-296.3112862913971,-296.9654052497068,-295.6739574454135,4723833696
